age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
59,1,1,0,0,699,0,0,0,28,4,98,1,154,6,0,0
29,0,2,1,0,-194,1,0,0,7,8,127,1,-1,0,3,0
28,1,2,0,0,0,1,1,2,3,6,380,4,-1,0,3,0
60,4,1,1,0,725,1,0,0,8,5,266,1,-1,0,3,0
56,4,0,2,0,442,0,0,2,28,8,77,3,-1,0,3,0
51,1,0,0,0,602,1,0,0,11,8,347,1,284,2,0,0
34,0,2,1,0,296,0,0,0,7,5,147,4,-1,0,3,0
37,9,2,1,0,0,0,0,0,4,1,69,2,-1,0,3,0
27,2,2,1,0,376,1,1,0,5,8,273,1,-1,0,3,0
58,10,1,1,0,610,1,0,1,29,5,246,2,-1,0,3,0
30,9,1,2,0,1570,1,0,0,26,8,260,1,-1,0,3,0
46,9,1,1,0,410,0,1,0,21,9,162,5,-1,0,3,0
31,9,2,1,0,4888,1,0,1,5,8,475,4,166,2,0,0
32,4,2,2,0,28,0,0,0,8,1,111,2,-1,0,3,0
29,9,2,2,0,0,1,0,2,7,8,104,2,-1,0,3,0
35,0,2,1,0,1810,1,0,0,25,8,65,2,-1,0,3,0
47,0,1,1,0,104,1,1,0,14,5,77,2,-1,0,3,0
45,2,1,0,0,58,1,0,1,13,8,119,3,371,3,0,0
42,4,2,2,0,10907,0,0,0,4,8,74,3,-1,0,3,0
27,1,2,1,0,5,1,0,2,19,8,205,3,-1,0,3,0
65,5,0,3,0,300,0,0,0,2,1,245,2,-1,0,3,0
38,4,1,2,0,126,1,0,2,21,8,164,2,-1,0,3,0
32,7,2,1,0,48,1,0,0,20,0,8,3,-1,0,3,0
31,4,1,1,0,1368,1,0,0,12,1,129,4,-1,0,3,0
32,4,2,2,0,574,1,0,0,14,0,259,2,145,3,0,0
33,1,1,1,0,-346,1,1,2,23,8,29,3,-1,0,3,0
39,9,2,2,0,1043,0,0,0,18,1,195,10,-1,0,3,0
53,9,1,1,0,230,0,1,0,13,1,112,2,-1,0,3,0
42,10,1,1,0,1289,0,0,0,15,5,250,4,415,2,0,1
62,6,0,2,0,6,1,0,0,13,10,216,1,183,4,2,1
41,9,2,1,0,1680,1,0,2,2,6,76,2,-1,0,3,0
56,1,1,1,0,345,1,0,1,22,5,605,1,-1,0,3,0
32,6,1,0,0,286,1,0,0,6,1,175,1,-1,0,3,0
33,1,1,0,0,3074,0,0,0,18,9,679,1,-1,0,3,0
30,8,2,1,0,4,0,0,0,4,3,443,2,-1,0,3,0
59,4,1,2,0,0,0,0,0,27,1,87,4,-1,0,3,0
41,6,1,1,0,28,1,0,0,11,8,49,1,-1,0,3,0
35,6,1,2,0,980,0,0,0,2,1,428,2,336,6,0,0
34,1,1,0,0,1666,1,0,2,31,7,30,1,-1,0,3,0
36,9,0,1,0,487,0,1,0,11,1,268,3,-1,0,3,0
37,0,1,1,0,1314,1,0,0,8,8,682,2,85,7,2,0
27,1,0,1,0,1,1,0,0,14,5,116,3,-1,0,3,0
35,4,1,2,0,317,1,0,2,23,8,162,3,-1,0,3,0
37,0,1,1,0,7,1,0,0,27,8,224,7,105,1,1,0
28,1,2,1,0,4229,1,1,0,5,8,205,2,-1,0,3,0
37,2,1,2,0,836,1,0,2,27,8,129,2,-1,0,3,0
32,9,1,1,0,2693,1,0,2,21,8,16,1,-1,0,3,0
28,4,2,2,0,0,1,0,0,16,5,767,5,-1,0,3,1
33,9,1,2,0,8023,0,0,0,30,9,107,1,105,3,0,0
57,5,0,1,0,39,1,0,0,30,5,354,3,-1,0,3,0
37,4,1,2,0,0,0,0,0,16,5,268,2,182,3,2,1
48,9,1,2,0,9207,0,0,0,18,1,445,3,-1,0,3,0
46,2,1,2,0,2262,0,0,1,14,5,44,14,-1,0,3,0
31,10,2,1,0,315,0,0,0,30,4,130,1,2,1,1,0
26,7,2,1,0,127,1,1,0,23,5,85,3,-1,0,3,0
41,7,0,1,0,787,1,0,0,8,8,297,2,-1,0,3,0
47,4,1,2,0,109,1,0,0,22,5,268,1,-1,0,3,0
48,0,1,3,0,0,1,0,0,8,8,85,1,168,2,0,0
33,9,2,1,0,291,0,0,0,25,1,72,6,-1,0,3,0
32,2,0,1,0,1121,1,1,0,16,0,211,3,-1,0,3,0
39,1,1,0,0,111,0,0,0,18,9,201,2,-1,0,3,0
40,8,1,1,0,260,0,0,2,20,6,197,6,-1,0,3,0
34,9,1,1,0,209,1,1,0,8,0,375,2,-1,0,3,0
45,3,1,0,0,4994,0,0,2,20,6,48,1,-1,0,3,0
30,7,2,1,0,566,0,0,0,5,3,110,1,-1,0,3,0
31,2,1,2,0,5191,0,0,0,20,9,187,2,-1,0,3,0
28,4,2,3,0,81,0,1,0,8,5,158,1,-1,0,3,0
51,9,0,1,0,2323,1,1,0,18,1,151,10,-1,0,3,0
31,0,1,0,0,355,1,1,2,4,6,61,6,-1,0,3,0
34,9,2,2,0,925,1,0,0,13,0,709,1,-1,0,3,1
45,0,1,3,0,2033,0,0,0,30,9,123,1,186,4,0,0
29,7,1,1,0,3,1,0,0,10,5,183,1,-1,0,3,0
42,1,1,0,0,704,1,1,1,31,5,88,10,-1,0,3,0
51,9,1,1,0,117,0,0,0,24,1,467,2,88,4,1,1
32,9,2,1,0,29,0,0,0,19,1,156,2,-1,0,3,0
36,9,0,1,0,666,1,1,0,3,0,190,1,133,1,1,0
36,7,1,0,0,179,0,0,2,9,6,411,1,-1,0,3,0
44,1,1,1,0,508,1,0,0,20,0,222,1,154,1,0,0
33,1,2,1,0,5739,1,1,0,21,9,374,1,-1,0,3,0
41,9,1,2,0,532,1,0,0,9,5,74,1,-1,0,3,0
57,3,1,0,0,7082,0,0,2,6,6,69,3,-1,0,3,0
48,10,1,2,0,-471,1,0,2,19,8,668,7,-1,0,3,0
58,2,1,1,0,2,0,0,2,16,6,684,1,-1,0,3,0
46,1,1,0,0,1429,1,0,2,14,8,91,1,-1,0,3,0
34,0,2,1,0,6979,1,0,0,15,8,14,5,-1,0,3,0
23,7,2,2,0,363,1,0,2,30,8,16,18,-1,0,3,0
31,7,1,1,0,413,1,0,2,13,8,65,1,-1,0,3,0
31,9,1,1,0,171,0,0,0,27,1,81,3,-1,0,3,0
30,9,2,2,0,985,1,0,0,19,3,88,2,-1,0,3,0
39,2,1,3,0,98,1,0,1,15,8,59,3,367,1,1,0
58,5,1,1,0,225,0,0,0,7,1,122,6,-1,0,3,0
42,4,1,1,1,-34,0,0,0,5,3,176,1,-1,0,3,0
45,7,2,1,0,1757,1,0,0,20,0,1010,3,326,1,1,0
41,2,1,1,0,2105,1,0,0,18,9,134,1,-1,0,3,0
40,0,2,1,0,100,1,0,0,11,1,221,1,461,1,2,1
35,0,2,2,0,62,0,1,0,30,0,67,1,-1,0,3,0
45,1,1,0,0,61,0,0,0,17,0,108,1,-1,0,3,0
43,1,1,0,0,2519,1,0,0,16,0,257,2,146,9,1,0
34,1,0,1,0,-566,1,0,2,26,8,248,2,-1,0,3,0
58,0,1,1,0,2,1,1,1,25,5,282,9,-1,0,3,0
59,5,1,1,0,1173,0,0,2,9,6,77,2,-1,0,3,0
35,1,1,1,0,1287,1,0,0,14,5,330,2,-1,0,3,0
52,0,1,1,0,199,0,0,0,28,4,978,2,189,1,1,0
31,9,2,1,0,1626,0,0,0,7,8,356,2,286,3,0,0
47,9,1,1,0,-75,1,0,0,4,3,57,1,247,1,1,0
27,8,2,2,0,-148,1,0,0,11,11,146,3,224,1,1,0
46,1,1,0,0,1291,1,0,0,14,8,142,3,259,17,0,0
59,4,1,0,0,1727,0,0,1,25,8,500,4,358,2,0,1
32,4,1,2,0,1390,0,0,0,7,1,116,2,-1,0,3,0
49,7,1,1,0,400,0,0,0,21,1,151,3,-1,0,3,0
51,3,1,3,0,174,0,0,1,29,5,308,3,-1,0,3,0
33,9,0,1,0,0,1,0,0,7,8,177,2,-1,0,3,0
28,0,2,2,0,14,0,0,0,1,6,201,1,-1,0,3,0
55,4,0,2,0,481,1,0,1,8,8,147,2,298,3,0,0
52,11,1,3,0,1317,0,0,2,12,6,58,1,-1,0,3,0
74,5,1,1,0,935,0,0,0,26,4,100,1,104,1,1,0
41,1,0,0,0,2195,1,0,2,3,6,211,5,-1,0,3,0
41,9,2,1,0,879,0,1,0,7,5,60,4,-1,0,3,0
37,1,1,1,0,67,0,0,2,3,6,45,2,-1,0,3,0
36,7,2,1,0,760,0,0,2,20,6,9,13,-1,0,3,0
46,0,1,1,0,1069,1,0,2,8,8,45,2,-1,0,3,0
24,8,2,1,0,1847,0,0,0,9,2,390,1,-1,0,3,0
33,4,1,2,0,148,0,0,2,20,8,717,1,-1,0,3,0
54,0,1,1,0,865,1,0,0,17,9,71,1,-1,0,3,0
30,6,2,2,0,48,0,0,0,21,9,140,1,-1,0,3,0
53,6,1,2,0,451,1,0,0,2,3,125,1,249,2,0,0
35,7,2,1,0,414,1,0,0,20,0,11,5,319,2,1,0
35,1,0,0,0,-587,1,0,2,26,8,111,1,-1,0,3,0
43,0,1,1,0,3215,1,0,0,21,5,228,3,-1,0,3,0
40,9,1,1,0,4441,1,0,0,20,9,153,2,183,2,0,0
36,1,1,1,0,-461,0,0,0,11,8,254,2,353,1,0,0
30,9,1,1,0,616,1,0,0,6,8,19,1,-1,0,3,0
40,4,2,1,0,192,1,0,2,16,8,71,11,-1,0,3,0
60,4,2,2,0,0,0,1,0,23,5,151,1,-1,0,3,0
46,1,1,0,0,665,0,0,0,30,4,89,4,235,2,0,0
33,1,1,1,0,0,1,1,0,28,5,83,12,-1,0,3,0
33,6,2,2,0,2155,0,0,0,17,9,295,1,-1,0,3,0
32,8,1,1,0,1694,1,0,0,28,4,929,1,-1,0,3,0
46,4,0,2,0,624,0,0,0,17,11,336,2,183,2,2,1
42,4,1,2,0,2187,1,0,0,17,9,525,3,-1,0,3,1
22,8,2,2,0,691,0,0,0,19,1,338,1,-1,0,3,1
28,4,2,2,0,1351,0,0,0,10,2,267,1,-1,0,3,0
39,0,1,1,0,406,0,0,0,30,5,253,5,-1,0,3,0
27,0,1,1,0,639,0,1,0,14,5,243,3,-1,0,3,0
40,9,1,1,0,0,1,1,0,26,5,105,2,172,1,0,0
59,4,0,2,0,7813,1,0,0,21,9,75,1,-1,0,3,0
38,7,1,1,0,-140,0,0,2,25,6,456,3,-1,0,3,0
41,1,1,1,1,720,0,1,0,24,5,651,1,-1,0,3,1
43,1,2,1,0,24,0,0,0,12,8,68,1,363,1,0,0
36,4,2,2,0,339,0,0,0,21,9,6,6,-1,0,3,0
31,7,2,1,0,85,0,0,0,16,5,151,1,-1,0,3,0
33,4,2,2,0,1998,0,0,0,19,9,570,1,-1,0,3,0
55,9,1,3,0,574,1,0,0,29,4,243,2,-1,0,3,0
33,7,1,1,0,0,1,0,1,22,5,44,8,-1,0,3,0
33,1,1,1,0,43,1,0,0,14,8,332,2,358,2,0,0
33,4,1,1,0,3132,1,0,2,23,8,350,5,-1,0,3,0
57,6,1,1,0,35,0,1,2,26,6,215,3,-1,0,3,0
48,1,1,0,0,750,1,0,0,18,8,90,6,-1,0,3,0
39,4,1,2,0,246,0,0,0,11,1,86,2,-1,0,3,0
37,8,1,3,0,0,0,0,2,18,6,115,1,-1,0,3,0
30,1,1,0,0,2581,0,0,2,12,8,221,2,-1,0,3,0
57,1,1,0,0,1592,0,1,2,20,6,78,4,-1,0,3,0
26,0,2,1,0,236,1,1,0,18,8,8,2,-1,0,3,0
48,0,1,1,0,191,1,0,0,5,3,238,3,-1,0,3,0
35,9,2,2,0,2288,0,0,1,28,8,32,2,-1,0,3,0
47,9,1,1,0,1233,1,0,2,11,11,91,1,100,2,1,1
48,4,1,2,0,586,1,1,0,6,8,179,2,-1,0,3,0
26,8,2,1,0,-147,0,0,2,4,6,95,2,-1,0,3,0
48,4,1,2,0,1147,0,0,0,5,1,389,1,64,2,2,1
51,1,1,0,0,1869,0,0,2,17,6,30,3,-1,0,3,0
20,8,2,1,0,502,0,0,0,30,0,261,1,-1,0,3,1
29,9,2,2,0,828,1,0,0,16,0,215,3,321,3,1,0
39,2,1,1,0,0,0,0,0,21,9,108,7,-1,0,3,0
38,1,1,0,0,290,1,0,0,16,0,283,1,-1,0,3,0
28,4,2,2,0,224,1,0,0,2,3,97,3,-1,0,3,0
37,0,1,1,0,-107,1,0,2,28,8,158,2,-1,0,3,0
48,0,0,1,0,4099,0,0,0,2,0,397,2,-1,0,3,1
30,1,1,1,0,125,1,0,2,29,8,238,2,-1,0,3,0
55,9,1,1,0,273,1,0,0,29,4,84,3,183,3,0,0
74,5,1,1,0,921,0,0,1,17,0,394,2,-1,0,3,1
32,4,1,2,0,820,1,0,0,17,5,738,3,-1,0,3,0
58,6,1,0,0,1013,1,0,0,11,1,206,1,461,1,0,1
42,9,2,1,0,0,1,0,2,7,8,275,4,-1,0,3,0
33,10,0,1,0,385,0,0,1,27,1,29,28,-1,0,3,0
36,1,1,1,0,-231,0,1,0,15,5,779,2,-1,0,3,0
56,3,0,0,1,1238,0,0,2,5,6,1558,1,-1,0,3,1
36,4,1,2,0,925,0,0,0,14,2,321,3,189,4,2,1
36,0,0,1,0,-37,1,0,2,27,8,151,1,-1,0,3,0
48,1,1,1,0,1143,1,0,0,17,0,264,1,317,1,0,0
34,9,1,1,0,4,1,0,2,15,8,644,1,-1,0,3,0
37,1,1,0,0,0,1,0,0,6,8,226,1,363,3,1,0
59,6,1,2,0,593,0,0,2,13,8,64,2,-1,0,3,0
55,4,0,2,0,1598,0,0,0,22,1,607,4,-1,0,3,0
60,6,1,0,0,362,0,1,0,29,5,816,6,-1,0,3,1
35,0,1,2,0,1145,1,0,0,2,3,82,2,-1,0,3,0
36,7,1,1,0,1981,0,0,2,17,6,48,2,-1,0,3,0
44,4,0,2,0,476,1,1,2,26,8,127,2,-1,0,3,0
33,9,1,2,0,-988,1,1,0,15,5,83,3,-1,0,3,0
32,9,2,1,0,2979,0,0,0,25,8,156,1,-1,0,3,0
24,7,1,1,1,110,1,0,2,23,8,27,1,-1,0,3,0
41,4,1,2,0,326,1,0,0,5,8,788,1,-1,0,3,1
31,0,0,1,0,360,0,0,0,15,8,332,1,297,2,1,0
44,2,1,1,0,6649,1,0,0,19,9,354,2,-1,0,3,0
57,4,1,2,0,3250,0,0,0,20,1,162,3,-1,0,3,0
27,4,2,2,0,88,0,0,0,4,8,143,1,-1,0,3,0
34,4,1,1,0,857,1,0,0,22,1,238,6,-1,0,3,0
45,0,1,1,0,644,0,1,1,22,5,92,1,-1,0,3,0
50,4,2,2,0,1200,0,0,0,14,1,904,3,-1,0,3,1
54,4,1,0,0,3859,0,1,0,20,9,104,3,-1,0,3,0
54,5,0,2,0,6102,1,1,2,21,8,86,6,-1,0,3,0
30,0,2,2,0,305,0,0,0,30,0,633,1,85,2,2,1
46,7,1,1,0,1034,0,0,0,8,1,109,2,-1,0,3,0
44,3,1,0,0,3706,0,0,2,17,6,209,3,-1,0,3,0
80,5,1,1,0,462,0,0,0,7,2,127,2,-1,0,3,0
30,4,2,2,0,2186,1,0,2,3,6,366,1,-1,0,3,0
45,4,1,2,0,-206,1,0,0,6,8,337,2,-1,0,3,0
44,4,1,2,0,795,0,0,0,28,1,99,24,-1,0,3,0
39,7,1,1,0,247,1,0,0,17,0,244,2,-1,0,3,0
43,0,1,1,0,0,1,0,0,17,5,674,3,-1,0,3,0
28,4,2,2,0,1466,1,0,0,25,5,40,1,-1,0,3,0
58,4,1,1,0,407,1,0,0,29,5,145,2,-1,0,3,0
41,4,1,2,0,49,1,0,0,17,5,312,5,-1,0,3,0
28,4,2,2,0,0,0,0,1,27,8,198,2,-1,0,3,0
30,9,2,1,0,175,0,0,0,25,1,167,4,-1,0,3,0
31,0,1,1,0,0,1,0,2,14,8,40,2,-1,0,3,0
59,3,1,2,0,0,0,1,0,29,5,376,2,-1,0,3,0
26,7,2,1,0,5533,1,0,0,7,8,582,2,283,4,0,0
34,4,1,2,0,1906,1,0,0,14,5,68,3,-1,0,3,0
37,7,2,1,0,1175,1,0,0,15,8,102,1,333,2,0,0
48,1,2,2,0,2330,1,0,2,4,6,15,1,-1,0,3,0
34,1,1,0,0,-319,1,1,0,9,5,134,4,-1,0,3,0
42,1,1,1,0,130,1,0,2,29,8,285,1,-1,0,3,0
36,9,1,2,0,167,1,0,0,28,4,57,1,-1,0,3,0
41,10,1,2,0,1666,0,0,2,9,6,291,3,-1,0,3,0
40,9,2,2,0,445,1,0,0,24,5,631,1,-1,0,3,0
58,4,1,2,0,2764,0,0,0,17,9,235,1,-1,0,3,0
35,0,2,1,0,57,0,1,0,8,5,632,2,-1,0,3,0
42,6,1,1,0,5564,0,0,0,17,9,560,2,-1,0,3,0
31,7,2,1,0,481,1,0,0,20,9,106,2,183,2,0,0
44,4,1,2,0,724,1,0,0,17,9,157,2,172,1,0,0
32,10,2,2,0,336,1,0,2,8,8,139,1,-1,0,3,0
32,4,2,3,0,787,0,0,0,28,4,92,1,-1,0,3,0
44,0,2,1,0,-101,1,0,0,10,5,99,1,-1,0,3,0
50,1,0,0,0,388,0,0,0,5,3,701,1,-1,0,3,0
36,4,1,2,0,-381,1,0,0,31,5,30,29,-1,0,3,0
32,1,2,1,0,1721,1,0,2,21,8,650,2,-1,0,3,0
44,0,1,1,0,2403,1,0,0,28,4,180,2,-1,0,3,0
41,6,2,2,0,3950,1,0,2,30,8,96,2,-1,0,3,0
57,5,1,1,0,107,0,0,0,14,5,85,2,-1,0,3,0
43,4,1,2,0,13044,0,0,0,18,1,36,4,-1,0,3,0
34,9,2,1,0,475,1,0,0,29,5,538,8,-1,0,3,0
49,9,1,0,0,230,1,0,2,8,8,96,1,-1,0,3,0
47,4,2,2,0,153,1,0,0,18,9,192,2,-1,0,3,0
43,7,1,1,0,642,0,0,0,31,5,644,2,-1,0,3,0
37,4,2,2,0,9,0,0,0,26,1,484,2,-1,0,3,0
57,4,1,2,0,320,0,0,0,7,1,76,2,-1,0,3,0
77,5,0,2,0,4659,0,0,0,14,0,161,1,-1,0,3,1
27,7,2,1,0,259,1,0,2,23,8,78,10,-1,0,3,0
29,4,2,2,0,0,0,0,2,16,8,16,25,-1,0,3,0
26,1,2,1,0,856,1,1,0,30,5,95,5,-1,0,3,0
30,9,2,1,0,57,0,0,0,2,3,465,2,-1,0,3,0
33,4,2,2,0,0,0,0,0,19,1,53,4,-1,0,3,0
59,5,1,0,0,-47,1,0,0,27,1,84,4,-1,0,3,0
27,7,2,1,0,54,1,0,2,28,8,543,2,-1,0,3,1
33,0,2,1,0,-300,1,1,0,25,5,184,1,-1,0,3,0
37,1,0,1,0,0,1,0,0,21,0,146,4,-1,0,3,1
38,9,2,2,0,0,0,0,0,28,1,247,2,-1,0,3,0
42,9,0,1,0,2974,1,0,2,21,8,187,5,-1,0,3,0
34,4,2,2,0,5086,0,0,0,25,8,213,4,-1,0,3,1
45,9,1,1,0,118,1,0,2,7,8,208,2,-1,0,3,0
32,3,1,2,0,357,1,0,0,18,9,175,2,-1,0,3,0
57,9,1,1,0,1469,1,0,0,17,9,364,1,-1,0,3,0
38,7,1,1,0,434,1,0,2,20,8,411,1,-1,0,3,0
36,9,1,1,0,5902,1,0,2,23,8,219,4,-1,0,3,0
40,1,1,0,0,1206,0,1,1,16,5,201,5,-1,0,3,0
30,10,2,2,0,302,0,0,0,11,3,528,3,-1,0,3,1
57,9,1,1,0,16063,1,0,2,30,8,352,3,-1,0,3,0
53,4,1,2,0,4,0,0,2,20,6,19,6,-1,0,3,0
24,7,1,1,0,4500,1,0,0,11,8,733,2,-1,0,3,1
37,4,1,2,0,865,1,0,0,3,6,101,1,-1,0,3,0
54,4,1,2,0,0,0,0,0,16,5,118,5,-1,0,3,0
30,4,1,2,0,1942,1,1,0,21,9,436,2,178,3,1,1
49,7,1,1,0,320,0,0,1,9,3,1971,4,-1,0,3,1
46,10,1,1,0,3533,1,0,0,12,1,235,2,-1,0,3,0
31,1,1,1,0,1766,0,1,0,5,6,166,2,-1,0,3,1
52,11,1,0,0,247,0,0,0,29,5,268,6,-1,0,3,0
36,4,2,2,0,2806,1,0,2,30,8,358,4,-1,0,3,0
44,9,2,1,0,-27,1,1,2,14,8,100,3,-1,0,3,0
59,5,2,1,0,351,1,0,2,27,8,1063,5,-1,0,3,1
29,7,1,0,0,-102,0,0,2,4,5,134,1,-1,0,3,0
48,1,1,1,0,425,1,0,1,9,5,693,2,-1,0,3,0
58,5,1,3,0,937,0,0,0,5,1,155,1,-1,0,3,0
40,3,1,0,0,1832,0,0,0,6,3,213,4,-1,0,3,0
34,0,1,2,0,69,0,1,0,4,1,120,3,1,6,2,1
27,7,1,1,0,58,1,0,0,7,8,113,1,337,2,1,0
36,9,1,2,0,1109,0,0,0,13,1,328,2,-1,0,3,0
41,1,1,0,0,8,1,0,0,15,5,155,2,-1,0,3,0
68,5,0,1,0,4189,0,0,1,14,5,897,2,-1,0,3,1
59,6,1,2,0,2013,0,0,0,19,3,222,4,94,2,2,1
25,0,1,1,0,894,1,0,2,28,8,328,1,-1,0,3,0
45,10,0,1,0,728,1,1,0,18,9,107,1,-1,0,3,0
42,2,1,2,0,42045,0,0,0,8,1,205,2,-1,0,3,0
34,4,1,2,0,297,1,0,0,26,1,63,4,-1,0,3,0
53,9,0,3,0,629,1,0,0,8,8,298,1,-1,0,3,0
26,7,2,1,0,50,1,0,0,12,1,153,1,-1,0,3,0
55,3,1,0,0,16,0,0,2,20,6,64,1,-1,0,3,0
32,7,2,1,0,0,0,1,0,11,5,333,2,-1,0,3,0
39,0,2,2,0,2600,1,0,2,17,6,77,1,-1,0,3,0
33,0,2,2,0,490,1,0,0,7,8,31,1,363,2,0,0
56,1,1,1,0,2190,0,1,0,30,4,90,2,232,1,0,0
49,9,1,1,1,-74,1,0,0,19,9,114,1,-1,0,3,0
34,4,1,2,0,436,1,0,0,17,0,28,1,345,1,0,0
44,7,2,1,0,1378,1,0,2,8,8,257,2,-1,0,3,0
34,1,1,1,0,584,1,0,0,18,5,154,2,-1,0,3,0
38,9,1,2,0,1042,1,0,0,4,3,419,2,-1,0,3,0
33,7,2,1,0,358,1,0,0,7,8,302,1,356,3,0,0
32,7,1,2,0,4908,0,1,0,13,8,491,2,-1,0,3,0
